id,name,name_reverse,class,label,subject_class,object_class,new_class
176,schloss Schule ab,Schule wurde abgeschlossen,person institution relation,schloss Schule ab,person,institution,AusbildungAn
1369,absolviert Studium an,hat Absolvent,person institution relation,absolviert Studium an,person,institution,AusbildungAn
1371,absolviert Studienaufenthalt an,,person institution relation,absolviert Studienaufenthalt an,person,institution,AusbildungAn
1385,hat sich habilitiert,,person institution relation,hat sich habilitiert,person,institution,AusbildungAn
1386,hat promoviert,,person institution relation,hat promoviert,person,institution,AusbildungAn
1387,ägyptische Altertumskunde,,person institution relation,hat sich habilitiert >> ägyptische Altertumskunde,person,institution,AusbildungAn
1388,ägyptische Altertumskunde,,person institution relation,hat promoviert >> ägyptische Altertumskunde,person,institution,AusbildungAn
1389,Ägyptologie,,person institution relation,hat sich habilitiert >> Ägyptologie,person,institution,AusbildungAn
1390,Ägyptologie,,person institution relation,hat promoviert >> Ägyptologie,person,institution,AusbildungAn
1391,Ägyptologie und Afrikanistik,,person institution relation,hat sich habilitiert >> Ägyptologie und Afrikanistik,person,institution,AusbildungAn
1392,Ägyptologie und Afrikanistik,,person institution relation,hat promoviert >> Ägyptologie und Afrikanistik,person,institution,AusbildungAn
1393,allgemeine Chemie,,person institution relation,hat sich habilitiert >> allgemeine Chemie,person,institution,AusbildungAn
1394,allgemeine Chemie,,person institution relation,hat promoviert >> allgemeine Chemie,person,institution,AusbildungAn
1395,allgemeine Geschichte,,person institution relation,hat sich habilitiert >> allgemeine Geschichte,person,institution,AusbildungAn
1396,allgemeine Geschichte,,person institution relation,hat promoviert >> allgemeine Geschichte,person,institution,AusbildungAn
1397,allgemeine Mechanik,,person institution relation,hat sich habilitiert >> allgemeine Mechanik,person,institution,AusbildungAn
1398,allgemeine Mechanik,,person institution relation,hat promoviert >> allgemeine Mechanik,person,institution,AusbildungAn
1399,allgemeine neuere Geschichte,,person institution relation,hat sich habilitiert >> allgemeine neuere Geschichte,person,institution,AusbildungAn
1400,allgemeine neuere Geschichte,,person institution relation,hat promoviert >> allgemeine neuere Geschichte,person,institution,AusbildungAn
1401,"allgemeine Staatslehre und österreichisches Staatsrecht, Verwaltungslehre und österreichisches Verwaltungsrecht",,person institution relation,"hat sich habilitiert >> allgemeine Staatslehre und österreichisches Staatsrecht, Verwaltungslehre und österreichisches Verwaltungsrecht",person,institution,AusbildungAn
1402,"allgemeine Staatslehre und österreichisches Staatsrecht, Verwaltungslehre und österreichisches Verwaltungsrecht",,person institution relation,"hat promoviert >> allgemeine Staatslehre und österreichisches Staatsrecht, Verwaltungslehre und österreichisches Verwaltungsrecht",person,institution,AusbildungAn
1403,allgemeine und experimentelle Pathologie,,person institution relation,hat sich habilitiert >> allgemeine und experimentelle Pathologie,person,institution,AusbildungAn
1404,allgemeine und experimentelle Pathologie,,person institution relation,hat promoviert >> allgemeine und experimentelle Pathologie,person,institution,AusbildungAn
1405,allgemeine und indogermanische Sprachwissenschaft,,person institution relation,hat sich habilitiert >> allgemeine und indogermanische Sprachwissenschaft,person,institution,AusbildungAn
1406,allgemeine und indogermanische Sprachwissenschaft,,person institution relation,hat promoviert >> allgemeine und indogermanische Sprachwissenschaft,person,institution,AusbildungAn
1407,allgemeine und österreichische Geschichte,,person institution relation,hat sich habilitiert >> allgemeine und österreichische Geschichte,person,institution,AusbildungAn
1408,allgemeine und österreichische Geschichte,,person institution relation,hat promoviert >> allgemeine und österreichische Geschichte,person,institution,AusbildungAn
1409,allgemeine und pharmazeutische Chemie,,person institution relation,hat sich habilitiert >> allgemeine und pharmazeutische Chemie,person,institution,AusbildungAn
1410,allgemeine und pharmazeutische Chemie,,person institution relation,hat promoviert >> allgemeine und pharmazeutische Chemie,person,institution,AusbildungAn
1411,allgemeine und spezielle Tierzucht- und Fütterungslehre,,person institution relation,hat sich habilitiert >> allgemeine und spezielle Tierzucht- und Fütterungslehre,person,institution,AusbildungAn
1412,allgemeine und spezielle Tierzucht- und Fütterungslehre,,person institution relation,hat promoviert >> allgemeine und spezielle Tierzucht- und Fütterungslehre,person,institution,AusbildungAn
1413,allgemeine und technische Chemie,,person institution relation,hat sich habilitiert >> allgemeine und technische Chemie,person,institution,AusbildungAn
1414,allgemeine und technische Chemie,,person institution relation,hat promoviert >> allgemeine und technische Chemie,person,institution,AusbildungAn
1415,allgemeine und vergleichende indogermanische Sprachwissenschaft,,person institution relation,hat sich habilitiert >> allgemeine und vergleichende indogermanische Sprachwissenschaft,person,institution,AusbildungAn
1416,allgemeine und vergleichende indogermanische Sprachwissenschaft,,person institution relation,hat promoviert >> allgemeine und vergleichende indogermanische Sprachwissenschaft,person,institution,AusbildungAn
1417,allgemeine Weltgeschichte und österreichische Staatengeschichte,,person institution relation,hat sich habilitiert >> allgemeine Weltgeschichte und österreichische Staatengeschichte,person,institution,AusbildungAn
1418,allgemeine Weltgeschichte und österreichische Staatengeschichte,,person institution relation,hat promoviert >> allgemeine Weltgeschichte und österreichische Staatengeschichte,person,institution,AusbildungAn
1419,allgemeine Zoologie und Parasitenkunde,,person institution relation,hat sich habilitiert >> allgemeine Zoologie und Parasitenkunde,person,institution,AusbildungAn
1420,allgemeine Zoologie und Parasitenkunde,,person institution relation,hat promoviert >> allgemeine Zoologie und Parasitenkunde,person,institution,AusbildungAn
1421,alte Geschichte,,person institution relation,hat sich habilitiert >> alte Geschichte,person,institution,AusbildungAn
1422,alte Geschichte,,person institution relation,hat promoviert >> alte Geschichte,person,institution,AusbildungAn
1423,alte Geschichte und Epigraphik,,person institution relation,hat sich habilitiert >> alte Geschichte und Epigraphik,person,institution,AusbildungAn
1424,alte Geschichte und Epigraphik,,person institution relation,hat promoviert >> alte Geschichte und Epigraphik,person,institution,AusbildungAn
1425,"alte Geschichte, Altertumskunde und Epigraphik",,person institution relation,"hat sich habilitiert >> alte Geschichte, Altertumskunde und Epigraphik",person,institution,AusbildungAn
1426,"alte Geschichte, Altertumskunde und Epigraphik",,person institution relation,"hat promoviert >> alte Geschichte, Altertumskunde und Epigraphik",person,institution,AusbildungAn
1427,ältere deutsche Sprache und Literatur,,person institution relation,hat sich habilitiert >> ältere deutsche Sprache und Literatur,person,institution,AusbildungAn
1428,ältere deutsche Sprache und Literatur,,person institution relation,hat promoviert >> ältere deutsche Sprache und Literatur,person,institution,AusbildungAn
1429,altindische Philologie und Altertumskunde,,person institution relation,hat sich habilitiert >> altindische Philologie und Altertumskunde,person,institution,AusbildungAn
1430,altindische Philologie und Altertumskunde,,person institution relation,hat promoviert >> altindische Philologie und Altertumskunde,person,institution,AusbildungAn
1431,altsemitische Philologie und orientalische Archäologie,,person institution relation,hat sich habilitiert >> altsemitische Philologie und orientalische Archäologie,person,institution,AusbildungAn
1432,altsemitische Philologie und orientalische Archäologie,,person institution relation,hat promoviert >> altsemitische Philologie und orientalische Archäologie,person,institution,AusbildungAn
1433,analytische Chemie,,person institution relation,hat sich habilitiert >> analytische Chemie,person,institution,AusbildungAn
1434,analytische Chemie,,person institution relation,hat promoviert >> analytische Chemie,person,institution,AusbildungAn
1435,Anatomie,,person institution relation,hat sich habilitiert >> Anatomie,person,institution,AusbildungAn
1436,Anatomie,,person institution relation,hat promoviert >> Anatomie,person,institution,AusbildungAn
1437,Anatomie und Embryologie,,person institution relation,hat sich habilitiert >> Anatomie und Embryologie,person,institution,AusbildungAn
1438,Anatomie und Embryologie,,person institution relation,hat promoviert >> Anatomie und Embryologie,person,institution,AusbildungAn
1439,Anatomie und Physiologie der Pflanzen,,person institution relation,hat sich habilitiert >> Anatomie und Physiologie der Pflanzen,person,institution,AusbildungAn
1440,Anatomie und Physiologie der Pflanzen,,person institution relation,hat promoviert >> Anatomie und Physiologie der Pflanzen,person,institution,AusbildungAn
1441,angewandte medizinische Chemie,,person institution relation,hat sich habilitiert >> angewandte medizinische Chemie,person,institution,AusbildungAn
1442,angewandte medizinische Chemie,,person institution relation,hat promoviert >> angewandte medizinische Chemie,person,institution,AusbildungAn
1443,anorganische und physikalische Chemie,,person institution relation,hat sich habilitiert >> anorganische und physikalische Chemie,person,institution,AusbildungAn
1444,anorganische und physikalische Chemie,,person institution relation,hat promoviert >> anorganische und physikalische Chemie,person,institution,AusbildungAn
1445,anorganische und analytische Chemie,,person institution relation,hat sich habilitiert >> anorganische und analytische Chemie,person,institution,AusbildungAn
1446,anorganische und analytische Chemie,,person institution relation,hat promoviert >> anorganische und analytische Chemie,person,institution,AusbildungAn
1447,Anthropologie,,person institution relation,hat sich habilitiert >> Anthropologie,person,institution,AusbildungAn
1448,Anthropologie,,person institution relation,hat promoviert >> Anthropologie,person,institution,AusbildungAn
1449,antike Numismatik und Geschichte Mittelasiens vor Mohammed,,person institution relation,hat sich habilitiert >> antike Numismatik und Geschichte Mittelasiens vor Mohammed,person,institution,AusbildungAn
1450,antike Numismatik und Geschichte Mittelasiens vor Mohammed,,person institution relation,hat promoviert >> antike Numismatik und Geschichte Mittelasiens vor Mohammed,person,institution,AusbildungAn
1451,Astronomie,,person institution relation,hat sich habilitiert >> Astronomie,person,institution,AusbildungAn
1452,Astronomie,,person institution relation,hat promoviert >> Astronomie,person,institution,AusbildungAn
1453,Astronomie und höhere Geodäsie,,person institution relation,hat sich habilitiert >> Astronomie und höhere Geodäsie,person,institution,AusbildungAn
1454,Astronomie und höhere Geodäsie,,person institution relation,hat promoviert >> Astronomie und höhere Geodäsie,person,institution,AusbildungAn
1455,Augenheilkunde,,person institution relation,hat sich habilitiert >> Augenheilkunde,person,institution,AusbildungAn
1456,Augenheilkunde,,person institution relation,hat promoviert >> Augenheilkunde,person,institution,AusbildungAn
1457,Bau der Wasserkraftmaschinen und Pumpen,,person institution relation,hat sich habilitiert >> Bau der Wasserkraftmaschinen und Pumpen,person,institution,AusbildungAn
1458,Bau der Wasserkraftmaschinen und Pumpen,,person institution relation,hat promoviert >> Bau der Wasserkraftmaschinen und Pumpen,person,institution,AusbildungAn
1459,Baustatik,,person institution relation,hat sich habilitiert >> Baustatik,person,institution,AusbildungAn
1460,Baustatik,,person institution relation,hat promoviert >> Baustatik,person,institution,AusbildungAn
1461,Baustatik und Baukonstruktion,,person institution relation,hat sich habilitiert >> Baustatik und Baukonstruktion,person,institution,AusbildungAn
1462,Baustatik und Baukonstruktion,,person institution relation,hat promoviert >> Baustatik und Baukonstruktion,person,institution,AusbildungAn
1463,Betriebswirtschaftslehre,,person institution relation,hat sich habilitiert >> Betriebswirtschaftslehre,person,institution,AusbildungAn
1464,Betriebswirtschaftslehre,,person institution relation,hat promoviert >> Betriebswirtschaftslehre,person,institution,AusbildungAn
1465,Bibelstudium n.B.,,person institution relation,hat sich habilitiert >> Bibelstudium n.B.,person,institution,AusbildungAn
1466,Bibelstudium n.B.,,person institution relation,hat promoviert >> Bibelstudium n.B.,person,institution,AusbildungAn
1467,Biochemie,,person institution relation,hat sich habilitiert >> Biochemie,person,institution,AusbildungAn
1468,Biochemie,,person institution relation,hat promoviert >> Biochemie,person,institution,AusbildungAn
1469,Botanik,,person institution relation,hat sich habilitiert >> Botanik,person,institution,AusbildungAn
1470,Botanik,,person institution relation,hat promoviert >> Botanik,person,institution,AusbildungAn
1471,Brückenbau,,person institution relation,hat sich habilitiert >> Brückenbau,person,institution,AusbildungAn
1472,Brückenbau,,person institution relation,hat promoviert >> Brückenbau,person,institution,AusbildungAn
1473,bürgerliches Recht und internationales Privatrecht,,person institution relation,hat sich habilitiert >> bürgerliches Recht und internationales Privatrecht,person,institution,AusbildungAn
1474,bürgerliches Recht und internationales Privatrecht,,person institution relation,hat promoviert >> bürgerliches Recht und internationales Privatrecht,person,institution,AusbildungAn
1475,Byzantinistik,,person institution relation,hat sich habilitiert >> Byzantinistik,person,institution,AusbildungAn
1476,Byzantinistik,,person institution relation,hat promoviert >> Byzantinistik,person,institution,AusbildungAn
1477,Chemie,,person institution relation,hat sich habilitiert >> Chemie,person,institution,AusbildungAn
1478,Chemie,,person institution relation,hat promoviert >> Chemie,person,institution,AusbildungAn
1479,Chemie mit besonderer Berücksichtigung der physikalischen Chemie,,person institution relation,hat sich habilitiert >> Chemie mit besonderer Berücksichtigung der physikalischen Chemie,person,institution,AusbildungAn
1480,Chemie mit besonderer Berücksichtigung der physikalischen Chemie,,person institution relation,hat promoviert >> Chemie mit besonderer Berücksichtigung der physikalischen Chemie,person,institution,AusbildungAn
1481,chemische Technologie,,person institution relation,hat sich habilitiert >> chemische Technologie,person,institution,AusbildungAn
1482,chemische Technologie,,person institution relation,hat promoviert >> chemische Technologie,person,institution,AusbildungAn
1483,darstellende Geometrie,,person institution relation,hat sich habilitiert >> darstellende Geometrie,person,institution,AusbildungAn
1484,darstellende Geometrie,,person institution relation,hat promoviert >> darstellende Geometrie,person,institution,AusbildungAn
1485,deskriptive Anatomie,,person institution relation,hat sich habilitiert >> deskriptive Anatomie,person,institution,AusbildungAn
1486,deskriptive Anatomie,,person institution relation,hat promoviert >> deskriptive Anatomie,person,institution,AusbildungAn
1487,deskriptive und topographische Anatomie,,person institution relation,hat sich habilitiert >> deskriptive und topographische Anatomie,person,institution,AusbildungAn
1488,deskriptive und topographische Anatomie,,person institution relation,hat promoviert >> deskriptive und topographische Anatomie,person,institution,AusbildungAn
1489,"deskriptive, topographische und vergleichende Anatomie",,person institution relation,"hat sich habilitiert >> deskriptive, topographische und vergleichende Anatomie",person,institution,AusbildungAn
1490,"deskriptive, topographische und vergleichende Anatomie",,person institution relation,"hat promoviert >> deskriptive, topographische und vergleichende Anatomie",person,institution,AusbildungAn
1491,deutsche Geschichte,,person institution relation,hat sich habilitiert >> deutsche Geschichte,person,institution,AusbildungAn
1492,deutsche Geschichte,,person institution relation,hat promoviert >> deutsche Geschichte,person,institution,AusbildungAn
1493,deutsche Rechtsgeschichte,,person institution relation,hat sich habilitiert >> deutsche Rechtsgeschichte,person,institution,AusbildungAn
1494,deutsche Rechtsgeschichte,,person institution relation,hat promoviert >> deutsche Rechtsgeschichte,person,institution,AusbildungAn
1495,"deutsche Rechtsgeschichte, bürgerliches Recht und Handelsrecht",,person institution relation,"hat sich habilitiert >> deutsche Rechtsgeschichte, bürgerliches Recht und Handelsrecht",person,institution,AusbildungAn
1496,"deutsche Rechtsgeschichte, bürgerliches Recht und Handelsrecht",,person institution relation,"hat promoviert >> deutsche Rechtsgeschichte, bürgerliches Recht und Handelsrecht",person,institution,AusbildungAn
1497,deutsche Reichs- und Rechtsgeschichte,,person institution relation,hat sich habilitiert >> deutsche Reichs- und Rechtsgeschichte,person,institution,AusbildungAn
1498,deutsche Reichs- und Rechtsgeschichte,,person institution relation,hat promoviert >> deutsche Reichs- und Rechtsgeschichte,person,institution,AusbildungAn
1499,deutsche Reichs- und Rechtsgeschichte und deutsches Privatrecht,,person institution relation,hat sich habilitiert >> deutsche Reichs- und Rechtsgeschichte und deutsches Privatrecht,person,institution,AusbildungAn
1500,deutsche Reichs- und Rechtsgeschichte und deutsches Privatrecht,,person institution relation,hat promoviert >> deutsche Reichs- und Rechtsgeschichte und deutsches Privatrecht,person,institution,AusbildungAn
1501,deutsche Reichs- und Rechtsgeschichte und Kirchenrecht,,person institution relation,hat sich habilitiert >> deutsche Reichs- und Rechtsgeschichte und Kirchenrecht,person,institution,AusbildungAn
1502,deutsche Reichs- und Rechtsgeschichte und Kirchenrecht,,person institution relation,hat promoviert >> deutsche Reichs- und Rechtsgeschichte und Kirchenrecht,person,institution,AusbildungAn
1503,deutsche Sprache und ältere deutsche Literatur,,person institution relation,hat sich habilitiert >> deutsche Sprache und ältere deutsche Literatur,person,institution,AusbildungAn
1504,deutsche Sprache und ältere deutsche Literatur,,person institution relation,hat promoviert >> deutsche Sprache und ältere deutsche Literatur,person,institution,AusbildungAn
1505,deutsche Sprache und Literatur,,person institution relation,hat sich habilitiert >> deutsche Sprache und Literatur,person,institution,AusbildungAn
1506,deutsche Sprache und Literatur,,person institution relation,hat promoviert >> deutsche Sprache und Literatur,person,institution,AusbildungAn
1507,deutsche und österreichische Reichs- und Rechtsgeschichte,,person institution relation,hat sich habilitiert >> deutsche und österreichische Reichs- und Rechtsgeschichte,person,institution,AusbildungAn
1508,deutsche und österreichische Reichs- und Rechtsgeschichte,,person institution relation,hat promoviert >> deutsche und österreichische Reichs- und Rechtsgeschichte,person,institution,AusbildungAn
1509,deutsches Recht und österreichische Reichsgeschichte,,person institution relation,hat sich habilitiert >> deutsches Recht und österreichische Reichsgeschichte,person,institution,AusbildungAn
1510,deutsches Recht und österreichische Reichsgeschichte,,person institution relation,hat promoviert >> deutsches Recht und österreichische Reichsgeschichte,person,institution,AusbildungAn
1511,deutsches Recht und österreichische Verfassungs- und Verwaltungsgeschichte,,person institution relation,hat sich habilitiert >> deutsches Recht und österreichische Verfassungs- und Verwaltungsgeschichte,person,institution,AusbildungAn
1512,deutsches Recht und österreichische Verfassungs- und Verwaltungsgeschichte,,person institution relation,hat promoviert >> deutsches Recht und österreichische Verfassungs- und Verwaltungsgeschichte,person,institution,AusbildungAn
1513,Eisenbetonbau und Statik,,person institution relation,hat sich habilitiert >> Eisenbetonbau und Statik,person,institution,AusbildungAn
1514,Eisenbetonbau und Statik,,person institution relation,hat promoviert >> Eisenbetonbau und Statik,person,institution,AusbildungAn
1515,Elementar- und höhere Mathematik,,person institution relation,hat sich habilitiert >> Elementar- und höhere Mathematik,person,institution,AusbildungAn
1516,Elementar- und höhere Mathematik,,person institution relation,hat promoviert >> Elementar- und höhere Mathematik,person,institution,AusbildungAn
1517,englische Philologie,,person institution relation,hat sich habilitiert >> englische Philologie,person,institution,AusbildungAn
1518,englische Philologie,,person institution relation,hat promoviert >> englische Philologie,person,institution,AusbildungAn
1519,englische Sprache und Literatur,,person institution relation,hat sich habilitiert >> englische Sprache und Literatur,person,institution,AusbildungAn
1520,englische Sprache und Literatur,,person institution relation,hat promoviert >> englische Sprache und Literatur,person,institution,AusbildungAn
1521,englische und amerikanische Sprache und Literatur,,person institution relation,hat sich habilitiert >> englische und amerikanische Sprache und Literatur,person,institution,AusbildungAn
1522,englische und amerikanische Sprache und Literatur,,person institution relation,hat promoviert >> englische und amerikanische Sprache und Literatur,person,institution,AusbildungAn
1523,Experimentalphysik,,person institution relation,hat sich habilitiert >> Experimentalphysik,person,institution,AusbildungAn
1524,Experimentalphysik,,person institution relation,hat promoviert >> Experimentalphysik,person,institution,AusbildungAn
1525,Geburtshilfe und Frauenheilkunde,,person institution relation,hat sich habilitiert >> Geburtshilfe und Frauenheilkunde,person,institution,AusbildungAn
1526,Geburtshilfe und Frauenheilkunde,,person institution relation,hat promoviert >> Geburtshilfe und Frauenheilkunde,person,institution,AusbildungAn
1527,Geldgeschichte und Museumskunde,,person institution relation,hat sich habilitiert >> Geldgeschichte und Museumskunde,person,institution,AusbildungAn
1528,Geldgeschichte und Museumskunde,,person institution relation,hat promoviert >> Geldgeschichte und Museumskunde,person,institution,AusbildungAn
1529,Geodäsie und Hydrometrie,,person institution relation,hat sich habilitiert >> Geodäsie und Hydrometrie,person,institution,AusbildungAn
1530,Geodäsie und Hydrometrie,,person institution relation,hat promoviert >> Geodäsie und Hydrometrie,person,institution,AusbildungAn
1531,Geographie,,person institution relation,hat sich habilitiert >> Geographie,person,institution,AusbildungAn
1532,Geographie,,person institution relation,hat promoviert >> Geographie,person,institution,AusbildungAn
1533,Geographie mit besonderer Berücksichtigung der Kartographie,,person institution relation,hat sich habilitiert >> Geographie mit besonderer Berücksichtigung der Kartographie,person,institution,AusbildungAn
1534,Geographie mit besonderer Berücksichtigung der Kartographie,,person institution relation,hat promoviert >> Geographie mit besonderer Berücksichtigung der Kartographie,person,institution,AusbildungAn
1535,Geologie,,person institution relation,hat sich habilitiert >> Geologie,person,institution,AusbildungAn
1536,Geologie,,person institution relation,hat promoviert >> Geologie,person,institution,AusbildungAn
1537,Geologie und Lagerstättenkunde,,person institution relation,hat sich habilitiert >> Geologie und Lagerstättenkunde,person,institution,AusbildungAn
1538,Geologie und Lagerstättenkunde,,person institution relation,hat promoviert >> Geologie und Lagerstättenkunde,person,institution,AusbildungAn
1539,Geologie und Paläontologie,,person institution relation,hat sich habilitiert >> Geologie und Paläontologie,person,institution,AusbildungAn
1540,Geologie und Paläontologie,,person institution relation,hat promoviert >> Geologie und Paläontologie,person,institution,AusbildungAn
1541,Geometrie,,person institution relation,hat sich habilitiert >> Geometrie,person,institution,AusbildungAn
1542,Geometrie,,person institution relation,hat promoviert >> Geometrie,person,institution,AusbildungAn
1543,gerichtlichen Medizin,,person institution relation,hat sich habilitiert >> gerichtlichen Medizin,person,institution,AusbildungAn
1544,gerichtlichen Medizin,,person institution relation,hat promoviert >> gerichtlichen Medizin,person,institution,AusbildungAn
1545,germanische Philologie,,person institution relation,hat sich habilitiert >> germanische Philologie,person,institution,AusbildungAn
1546,germanische Philologie,,person institution relation,hat promoviert >> germanische Philologie,person,institution,AusbildungAn
1547,germanische Sprachgeschichte und Altertumskunde,,person institution relation,hat sich habilitiert >> germanische Sprachgeschichte und Altertumskunde,person,institution,AusbildungAn
1548,germanische Sprachgeschichte und Altertumskunde,,person institution relation,hat promoviert >> germanische Sprachgeschichte und Altertumskunde,person,institution,AusbildungAn
1549,Geschichte,,person institution relation,hat sich habilitiert >> Geschichte,person,institution,AusbildungAn
1550,Geschichte,,person institution relation,hat promoviert >> Geschichte,person,institution,AusbildungAn
1551,Geschichte der Neuzeit,,person institution relation,hat sich habilitiert >> Geschichte der Neuzeit,person,institution,AusbildungAn
1552,Geschichte der Neuzeit,,person institution relation,hat promoviert >> Geschichte der Neuzeit,person,institution,AusbildungAn
1553,Geschichte des Altertums,,person institution relation,hat sich habilitiert >> Geschichte des Altertums,person,institution,AusbildungAn
1554,Geschichte des Altertums,,person institution relation,hat promoviert >> Geschichte des Altertums,person,institution,AusbildungAn
1555,Geschichte des Mittelalters und historische Hilfswissenschaften,,person institution relation,hat sich habilitiert >> Geschichte des Mittelalters und historische Hilfswissenschaften,person,institution,AusbildungAn
1556,Geschichte des Mittelalters und historische Hilfswissenschaften,,person institution relation,hat promoviert >> Geschichte des Mittelalters und historische Hilfswissenschaften,person,institution,AusbildungAn
1557,Geschichte des Orients,,person institution relation,hat sich habilitiert >> Geschichte des Orients,person,institution,AusbildungAn
1558,Geschichte des Orients,,person institution relation,hat promoviert >> Geschichte des Orients,person,institution,AusbildungAn
1559,Geschichte und historische Hilfswissenschaften,,person institution relation,hat sich habilitiert >> Geschichte und historische Hilfswissenschaften,person,institution,AusbildungAn
1560,Geschichte und historische Hilfswissenschaften,,person institution relation,hat promoviert >> Geschichte und historische Hilfswissenschaften,person,institution,AusbildungAn
1561,Geschichte und ihre Hilfswissenschaften,,person institution relation,hat sich habilitiert >> Geschichte und ihre Hilfswissenschaften,person,institution,AusbildungAn
1562,Geschichte und ihre Hilfswissenschaften,,person institution relation,hat promoviert >> Geschichte und ihre Hilfswissenschaften,person,institution,AusbildungAn
1563,griechische Altertumskunde und Epigraphik,,person institution relation,hat sich habilitiert >> griechische Altertumskunde und Epigraphik,person,institution,AusbildungAn
1564,griechische Altertumskunde und Epigraphik,,person institution relation,hat promoviert >> griechische Altertumskunde und Epigraphik,person,institution,AusbildungAn
1565,"griechische Geschichte, Altertumskunde und Epigraphik",,person institution relation,"hat sich habilitiert >> griechische Geschichte, Altertumskunde und Epigraphik",person,institution,AusbildungAn
1566,"griechische Geschichte, Altertumskunde und Epigraphik",,person institution relation,"hat promoviert >> griechische Geschichte, Altertumskunde und Epigraphik",person,institution,AusbildungAn
1567,Grundbau und Bodenmechanik,,person institution relation,hat sich habilitiert >> Grundbau und Bodenmechanik,person,institution,AusbildungAn
1568,Grundbau und Bodenmechanik,,person institution relation,hat promoviert >> Grundbau und Bodenmechanik,person,institution,AusbildungAn
1569,Grundlagen der Elektrotechnik und theoretische Elektrotechnik,,person institution relation,hat sich habilitiert >> Grundlagen der Elektrotechnik und theoretische Elektrotechnik,person,institution,AusbildungAn
1570,Grundlagen der Elektrotechnik und theoretische Elektrotechnik,,person institution relation,hat promoviert >> Grundlagen der Elektrotechnik und theoretische Elektrotechnik,person,institution,AusbildungAn
1571,Handels- und Wechselrecht und bürgerliches Recht,,person institution relation,hat sich habilitiert >> Handels- und Wechselrecht und bürgerliches Recht,person,institution,AusbildungAn
1572,Handels- und Wechselrecht und bürgerliches Recht,,person institution relation,hat promoviert >> Handels- und Wechselrecht und bürgerliches Recht,person,institution,AusbildungAn
1573,Histologie,,person institution relation,hat sich habilitiert >> Histologie,person,institution,AusbildungAn
1574,Histologie,,person institution relation,hat promoviert >> Histologie,person,institution,AusbildungAn
1575,Histologie und Embryologie,,person institution relation,hat sich habilitiert >> Histologie und Embryologie,person,institution,AusbildungAn
1576,Histologie und Embryologie,,person institution relation,hat promoviert >> Histologie und Embryologie,person,institution,AusbildungAn
1577,historische und politische Geographie,,person institution relation,hat sich habilitiert >> historische und politische Geographie,person,institution,AusbildungAn
1578,historische und politische Geographie,,person institution relation,hat promoviert >> historische und politische Geographie,person,institution,AusbildungAn
1579,höhere Geodäsie,,person institution relation,hat sich habilitiert >> höhere Geodäsie,person,institution,AusbildungAn
1580,höhere Geodäsie,,person institution relation,hat promoviert >> höhere Geodäsie,person,institution,AusbildungAn
1581,höhere Geodäsie und angewandte Geophysik,,person institution relation,hat sich habilitiert >> höhere Geodäsie und angewandte Geophysik,person,institution,AusbildungAn
1582,höhere Geodäsie und angewandte Geophysik,,person institution relation,hat promoviert >> höhere Geodäsie und angewandte Geophysik,person,institution,AusbildungAn
1583,höhere Geodäsie und sphärische Astronomie,,person institution relation,hat sich habilitiert >> höhere Geodäsie und sphärische Astronomie,person,institution,AusbildungAn
1584,höhere Geodäsie und sphärische Astronomie,,person institution relation,hat promoviert >> höhere Geodäsie und sphärische Astronomie,person,institution,AusbildungAn
1585,höhere Ingenieur-Wissenschaften,,person institution relation,hat sich habilitiert >> höhere Ingenieur-Wissenschaften,person,institution,AusbildungAn
1586,höhere Ingenieur-Wissenschaften,,person institution relation,hat promoviert >> höhere Ingenieur-Wissenschaften,person,institution,AusbildungAn
1587,höhere Mathematik,,person institution relation,hat sich habilitiert >> höhere Mathematik,person,institution,AusbildungAn
1588,höhere Mathematik,,person institution relation,hat promoviert >> höhere Mathematik,person,institution,AusbildungAn
1589,höhere Mathematik und Physik,,person institution relation,hat sich habilitiert >> höhere Mathematik und Physik,person,institution,AusbildungAn
1590,höhere Mathematik und Physik,,person institution relation,hat promoviert >> höhere Mathematik und Physik,person,institution,AusbildungAn
1591,höhere Mechanik,,person institution relation,hat sich habilitiert >> höhere Mechanik,person,institution,AusbildungAn
1592,höhere Mechanik,,person institution relation,hat promoviert >> höhere Mechanik,person,institution,AusbildungAn
1593,indische und iranische Philologie,,person institution relation,hat sich habilitiert >> indische und iranische Philologie,person,institution,AusbildungAn
1594,indische und iranische Philologie,,person institution relation,hat promoviert >> indische und iranische Philologie,person,institution,AusbildungAn
1595,indogermanische Sprachwissenschaft,,person institution relation,hat sich habilitiert >> indogermanische Sprachwissenschaft,person,institution,AusbildungAn
1596,indogermanische Sprachwissenschaft,,person institution relation,hat promoviert >> indogermanische Sprachwissenschaft,person,institution,AusbildungAn
1597,Indologie,,person institution relation,hat sich habilitiert >> Indologie,person,institution,AusbildungAn
1598,Indologie,,person institution relation,hat promoviert >> Indologie,person,institution,AusbildungAn
1599,Kirchenrecht,,person institution relation,hat sich habilitiert >> Kirchenrecht,person,institution,AusbildungAn
1600,Kirchenrecht,,person institution relation,hat promoviert >> Kirchenrecht,person,institution,AusbildungAn
1601,Kirchenrecht und deutsches Recht,,person institution relation,hat sich habilitiert >> Kirchenrecht und deutsches Recht,person,institution,AusbildungAn
