id,name,name_reverse,class,label,subject_class,object_class,new_class
3171,orientalische Sprachen,,person institution relation,hat Position inne >> o. Univ.-Prof. >> orientalische Sprachen,person,institution,PositionAn
3174,Photochemie,,person institution relation,hat Position inne >> ao. Univ.-Prof. >> Photochemie,person,institution,PositionAn
3175,Photochemie,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Photochemie,person,institution,PositionAn
3177,Mitdirektor(in),,person institution relation,hat Position inne >> Mitdirektor(in),person,institution,PositionAn
3179,neuere deutsche Sprache und Literatur,,person institution relation,hat Position inne >> o. Univ.-Prof. >> neuere deutsche Sprache und Literatur,person,institution,PositionAn
3180,"Pharmakologie, Diätik und Geschichte der Medizin",,person institution relation,"hat Position inne >> o. Univ.-Prof. >> Pharmakologie, Diätik und Geschichte der Medizin",person,institution,PositionAn
3181,Geolog(e/in),,person institution relation,hat Position inne >> Geolog(e/in),person,institution,PositionAn
3185,mechanische Technologie,,person institution relation,hat Position inne >> Honorar-Prof. >> mechanische Technologie,person,institution,PositionAn
3186,angewandte Mathematik,,person institution relation,hat Position inne >> o. Univ.-Prof. >> angewandte Mathematik,person,institution,PositionAn
3188,Prorektor(in),,person institution relation,hat Position inne >> Prorektor(in),person,institution,PositionAn
3189,Senator(in),,person institution relation,hat Position inne >> Senator(in),person,institution,PositionAn
3193,Tierproduktionslehre und Morphologie der Haustiere,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Tierproduktionslehre und Morphologie der Haustiere,person,institution,PositionAn
3194,Tiefbau,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Tiefbau,person,institution,PositionAn
3195,Tiefbau und technische Ökologie,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Tiefbau und technische Ökologie,person,institution,PositionAn
3196,Erdbaumechanik und technische Ökologie,,person institution relation,hat Position inne >> Univ.-Doz. >> >> Erdbaumechanik und technische Ökologie,person,institution,PositionAn
3197,Erdbaumechanik und technische Ökologie,,person institution relation,hat Position inne >> ao. Univ.-Prof. >> Erdbaumechanik und technische Ökologie,person,institution,PositionAn
3198,Erdbaumechanik und technische Ökologie,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Erdbaumechanik und technische Ökologie,person,institution,PositionAn
3199,Erdbaumechanik und Grundbau,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Erdbaumechanik und Grundbau,person,institution,PositionAn
3200,gründet,wird gegründet von,person institution relation,gründet,person,institution,PositionAn
3201,Ehrensenator(in),,person institution relation,hat Position inne >> Ehrensenator(in),person,institution,PositionAn
3202,Staatsarchivar(in),,person institution relation,hat Position inne >> Staatsarchivar(in),person,institution,PositionAn
3203,tit. Staatsarchivar(in),,person institution relation,hat Position inne >> tit. Staatsarchivar(in),person,institution,PositionAn
3205,deutsche Philologie,,person institution relation,hat Position inne >> tit. ao. Univ.-Prof. >> deutsche Philologie,person,institution,PositionAn
3209,Urgeschichte des Menschen,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Urgeschichte des Menschen,person,institution,PositionAn
3210,römische Altertumskunde und Epigraphik,,person institution relation,hat Position inne >> o. Univ.-Prof. >> römische Altertumskunde und Epigraphik,person,institution,PositionAn
3211,Physik und angewandte Mathematik,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Physik und angewandte Mathematik,person,institution,PositionAn
3212,Naturgeschichte,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Naturgeschichte,person,institution,PositionAn
3213,Elementarmathematik,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Elementarmathematik,person,institution,PositionAn
3214,"allgemeine, analytische und angewandte technische Chemie",,person institution relation,"hat Position inne >> o. Univ.-Prof. >> allgemeine, analytische und angewandte technische Chemie",person,institution,PositionAn
3215,ungarische Sprache,,person institution relation,hat Position inne >> o. Univ.-Prof. >> ungarische Sprache,person,institution,PositionAn
3216,höhere Erziehungskunde,,person institution relation,hat Position inne >> Supplent(in) >> höhere Erziehungskunde,person,institution,PositionAn
3217,Hofdolmetscher(in),Hofdolmetscher(in) [REVERSE],person institution relation,hat Position inne >> Hofdolmetscher(in),person,institution,PositionAn
3218,k.k. Appellationsgerichtsrat/-rätin,k.k. Appellationsgerichtsrat/-rätin [REVERSE],person institution relation,hat Position inne >> k.k. Appellationsgerichtsrat/-rätin,person,institution,PositionAn
3219,Vernunftsrecht und österreichisches Kriminalrecht,,person institution relation,hat Position inne >> Supplent(in) >> Vernunftsrecht und österreichisches Kriminalrecht,person,institution,PositionAn
3220,Diätetik,,person institution relation,hat Position inne >> Univ.-Doz. >> >> Diätetik,person,institution,PositionAn
3221,Literaturgeschichte,,person institution relation,hat Position inne >> Univ.-Doz. >> >> Literaturgeschichte,person,institution,PositionAn
3222,Weltgeschichte und Philosophie,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Weltgeschichte und Philosophie,person,institution,PositionAn
3223,altslavische und russische Sprache und Literatur,,person institution relation,hat Position inne >> Univ.-Doz. >> >> altslavische und russische Sprache und Literatur,person,institution,PositionAn
3224,allgemeine Naturgeschichte und Technologie,,person institution relation,hat Position inne >> o. Univ.-Prof. >> allgemeine Naturgeschichte und Technologie,person,institution,PositionAn
3225,Vorbereitungswissenschaft,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Vorbereitungswissenschaft,person,institution,PositionAn
3226,Astronomie und höhere Mathematik,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Astronomie und höhere Mathematik,person,institution,PositionAn
3227,Kunstgeschichte und Archäologie,,person institution relation,hat Position inne >> ao. Univ.-Prof. >> Kunstgeschichte und Archäologie,person,institution,PositionAn
3228,"Botanik, Mineralogie und Zoologie",,person institution relation,"hat Position inne >> o. Univ.-Prof. >> Botanik, Mineralogie und Zoologie",person,institution,PositionAn
3229,Tiroler Geschichte,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Tiroler Geschichte,person,institution,PositionAn
3233,Kunstgeschichte und Kunstarchäologie,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Kunstgeschichte und Kunstarchäologie,person,institution,PositionAn
3234,Landeshistoriograph(in),,person institution relation,hat Position inne >> Landeshistoriograph(in),person,institution,PositionAn
3235,Oberlandesgerichtsrat(rätin),,person institution relation,hat Position inne >> Oberlandesgerichtsrat(rätin),person,institution,PositionAn
3238,arabische Sprache und Literatur,,person institution relation,hat Position inne >> o. Univ.-Prof. >> arabische Sprache und Literatur,person,institution,PositionAn
3239,Geschichte und Geographie,,person institution relation,hat Position inne >> o. Univ.-Prof. >> Geschichte und Geographie,person,institution,PositionAn
3240,Unterstaatssekretär(in),Unterstaatssekretär(in) [REVERSE],person institution relation,hat Position inne >> Unterstaatssekretär(in),person,institution,PositionAn
3242,österreichische Staatengeschichte,,person institution relation,hat Position inne >> o. Univ.-Prof. >> österreichische Staatengeschichte,person,institution,PositionAn
3244,mathematische Physik und Krystallographie,,person institution relation,hat Position inne >> o. Univ.-Prof. >> mathematische Physik und Krystallographie,person,institution,PositionAn
3245,Vorbereitungswissenschaft,,person institution relation,hat Position inne >> Supplent(in) >> Vorbereitungswissenschaft,person,institution,PositionAn
3246,reine und analytische Chemie,,person institution relation,hat Position inne >> o. Univ.-Prof. >> reine und analytische Chemie,person,institution,PositionAn
3247,Geschichte des süddt. und österr. Humanismus,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geschichte des süddt. und österr. Humanismus,person,institution,PositionAn
